,street,district
0,улица Егора Абакумова,Ярославский
1,улица Талалихина,Таганский
2,Абельмановская улица,Таганский
3,Абрамцевская улица,Лианозово
4,Абрамцевская улица,Лианозово
5,Абрамцевская улица,Лианозово
6,переулок Сивцев Вражек,Арбат
7,Авиамоторная улица,Лефортово
8,Авиамоторная улица,Лефортово
9,Авиамоторная улица,Лефортово
10,Авиамоторная улица,Лефортово
11,Авиамоторная улица,Лефортово
12,Авиамоторная улица,Лефортово
13,улица Авиаторов,Солнцево
14,улица Авиаторов,Солнцево
15,улица Авиаторов,Солнцево
16,Азовская улица,Зюзино
17,Азовская улица,Зюзино
18,Большая Академическая улица,Коптево
19,Филипповский переулок,Арбат
20,Алтайская улица,Гольяново
21,Алтуфьевское шоссе,Отрадное
22,Алтуфьевское шоссе,Отрадное
23,Алтуфьевское шоссе,Отрадное
24,Алтуфьевское шоссе,Алтуфьевский
25,Алтуфьевское шоссе,Алтуфьевский
26,Алтуфьевское шоссе,Бибирево
27,улица Амундсена,Свиблово
28,Анадырский проезд,Лосиноостровский
29,Ангарская улица,Западное Дегунино
30,Ангарская улица,Дмитровский
31,проспект Андропова,Нагатинский Затон
32,проспект Андропова,Нагатино-Садовники
33,проспект Андропова,Нагатино-Садовники
34,проспект Андропова,Нагатинский Затон
35,проспект Андропова,Нагатино-Садовники
36,улица Арбат,Арбат
37,улица Арбат,Арбат
38,улица Арбат,Арбат
39,улица Арбат,Арбат
40,улица Арбат,Арбат
41,улица Арбат,Арбат
42,улица Арбат,Арбат
43,улица Арбат,Арбат
44,улица Арбат,Арбат
45,улица Арбат,Арбат
46,улица Арбат,Арбат
47,улица Арбат,Арбат
48,улица Арбат,Арбат
49,улица Арбат,Арбат
50,улица Арбат,Арбат
51,улица Арбат,Арбат
52,улица Арбат,Арбат
53,улица Арбат,Арбат
54,улица Арбат,Арбат
55,улица Арбат,Арбат
56,улица Арбат,Арбат
57,улица Артамонова,Фили-Давыдково
58,Астраханский переулок,Мещанский
59,Астраханский переулок,Мещанский
60,Аэродромная улица,Южное Тушино
61,Бабаевская улица,Сокольники
62,улица Ивана Бабушкина,Академический
63,улица Ивана Бабушкина,Академический
64,Байкальская улица,Гольяново
65,Байкальская улица,Гольяново
66,Бакинская улица,Царицыно
67,Балаклавский проспект,Зюзино
68,Балаклавский проспект,Зюзино
69,1-й Балтийский переулок,Аэропорт
70,улица Барклая,Филёвский Парк
71,Новая Басманная улица,Басманный
72,Бауманская улица,Басманный
73,Бауманская улица,Басманный
74,Татарская улица,Замоскворечье
